model,auc,ks_stat
Lr-No Handling imbalance,0.8427290810922523,0.5246195975096231
Lr-Class Weights,0.8418042315740525,0.5176083081453925
LGBM - No Handling imbalance,0.8362241339223436,0.5297424371593169
LGBM - Class Weights,0.8347361078818879,0.5219018832829575
LGBM - SMOTE,0.8333914593505386,0.5115425353277016
LR - SMOTE,0.8322870650236379,0.5151825156940246
RF-No imbalance handling,0.8253313182980704,0.5093854142447493
RF-Class Weights,0.8224495595339585,0.5033196414270583
XGB - No Handling imbalance,0.8223836833811259,0.5071378749128109
RF - SMOTE,0.8214575421736547,0.51868816037614
XGB - Class Weights,0.8194115063680281,0.505946937404738
XGB - SMOTE,0.8177026014621922,0.5113410318013899
